Name,Type,Exterior,Rarity,Extra,Average volume sale,Average price (VND),Max price (VND),Days to reach max,Min price (VND),Days to reach min,Price change (%),Time on market (days)
Sticker | kennyS (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,2.169354839,3385235.635,42544756,1510,629044.125,269,8.62,1582
Souvenir AWP | Safari Mesh (Well-Worn),Rifle,Well-Worn,Industrial Grade,Souvenir,1.204946996,613775.5797,7803620,2261,14.911,517,7.4,3238
Glock-18 | Synth Leaf (Well-Worn),Pistol,Well-Worn,Restricted,Normal,1.940594059,652750.0131,4243951,565,41357.074,0,88.58,1094
★ Karambit | Lore (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.2996633,21789447.03,45161864,1806,2104388.75,1019,2.55,2326
★ Specialist Gloves | Emerald Web (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.130434783,21938172.68,46029248,2192,7007052,453,3.71,2192
Negev | Mjölnir (Well-Worn),Machinegun,Well-Worn,Classified,Normal,2.063063063,7046626.179,43509300,563,597613.812,0,34.23,1082
Souvenir M4A1-S | Knight (Minimal Wear),Rifle,Minimal Wear,Classified,Souvenir,1.375,11540573.55,44631788,2726,4317884,1070,4.18,2913
★ StatTrak™ Huntsman Knife | Autotronic (Factory New),Knife,Factory New,Covert,StatTrak™,1,9275990.267,12267543,161,6967859,115,-0.03,290
★ StatTrak™ Talon Knife | Boreal Forest (Factory New),Knife,Factory New,Covert,StatTrak™,1,13740429.5,14418795,0,13062537,1292,-0.08,1374
Sticker | tabseN (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.67281106,1209372.301,26271558,1904,315584.906,289,51.79,1904
★ Karambit | Boreal Forest (Well-Worn),Knife,Well-Worn,Covert,Normal,2.021393643,3759393.881,19595338,3153,5702.951,324,4.98,3379
Sticker | JW (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.57826087,1740468.009,22315892,1866,282172.094,0,78.09,1866
Sticker | dennis (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.707627119,622396.3248,8028690,1435,138239.266,17,43.43,1865
Sticker | chopper (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.732793522,949448.0018,13409621,1868,95632.977,17,108.46,1933
Sticker | nex (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.504032258,971121.5716,25724522,1887,169352.016,348,53.12,1898
Sticker | karrigan (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.223728814,637708.7072,11705761,1782,130301.727,16,25.95,1883
Sticker | hutji (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.58974359,540176.3699,13757501,1879,90962.25,16,118.37,1879
★ StatTrak™ Skeleton Knife | Fade (Factory New),Knife,Factory New,Covert,StatTrak™,1.027777778,41332435.06,48997768,946,19935794,0,1.18,1098
Sticker | HS (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.516666667,1109963.628,34233460,1906,151766.797,15,111.05,1906
